frame_nr;dec_time;anim_fps;pc_latency;time_packets
139;37.02991;24.53326;0.05054474;23.94581
140;46.78637;29.24164;0.07724762;34.091
141;40.0113;23.8497;9.076118;41.79764
142;37.1493;24.32383;9.615898;33.75721
143;45.47558;29.98502;9.44519;32.7301
144;47.09526;30.28816;7.744789;33.27847
145;46.04268;29.96616;0.09155273;30.52711
146;34.70727;24.09799;0.1020432;39.65664
147;46.75507;29.89866;0.1163483;37.94384
148;35.18121;24.48685;0.1020432;39.55555
149;34.09227;23.62349;8.858681;18.4164
150;35.48601;23.41878;9.815216;33.74863
151;39.18006;24.20759;0.1144409;32.85217
152;42.2285;24.4099;0.1068115;33.09155
153;48.49355;30.23837;9.922981;33.7019
154;36.01498;24.27709;5.084991;33.0801
155;35.9249;23.81828;0.0743866;28.90205
156;46.54132;30.03483;0.1277924;41.37707
157;38.51943;24.03447;0.0743866;43.51902
158;34.13334;24.2889;0.1211166;19.80972
159;35.9126;24.1063;0.1134872;33.03719
160;37.50674;23.717;6.029129;41.38374
161;35.5317;23.99982;0.0705719;28.8372
162;37.07442;23.59213;0.08392334;34.00803
163;43.15838;24.87902;0.08678436;41.83292
164;35.49562;23.72451;0.07820129;19.12212
165;35.61739;24.70726;9.041786;33.44631
166;47.16305;29.47591;7.430077;33.69141
167;35.37467;24.25912;0.08296967;28.29266
168;35.50042;23.98554;0.09441376;42.89818
169;48.58792;30.33635;24.11842;43.35499
170;34.80057;23.75999;0.08678436;17.7803
171;46.09125;29.92426;9.376526;33.69141
172;35.76804;24.19698;11.37638;43.1509
173;46.48767;30.26455;2.162933;35.12383
174;34.96769;23.746;0.09155273;34.76334
175;35.10113;24.23165;21.55209;40.81535
176;35.17649;24.05046;0.09441376;11.78265
177;45.4283;29.54484;0.06103516;28.84769
178;36.50522;24.57811;0.09822845;34.28555
179;44.17103;29.48337;0.07152557;41.68701
180;48.39061;30.25757;21.42143;40.52258
181;46.11558;30.00733;21.69514;33.90884
182;45.7434;29.83995;8.56781;20.11299
183;47.49631;29.95418;8.946419;33.53024
184;45.66372;30.05894;8.556366;32.73964
185;37.05346;24.66715;5.304337;33.8459
186;45.37522;29.64508;0.05531311;29.69933
187;45.93779;30.23576;0.1001358;41.3065
188;45.04386;30.01678;0.06866455;41.70704
189;45.44011;29.94734;8.512497;19.9461
190;47.36757;30.09344;8.738518;33.37097
191;48.79821;30.21485;0.05722046;33.27274
192;47.70374;30.15923;0.04768372;27.52972
193;46.3828;29.70975;0.04863739;35.00271
194;47.67121;30.10122;0.04577637;32.23705
195;35.49922;24.0991;0.05722046;33.30231
196;33.55658;23.35775;0.05054474;34.02042
197;38.37564;24.66599;0.04959106;32.2876
198;45.51704;30.04602;0.07820129;35.779
199;44.74974;29.91743;0.08869171;38.65814
200;46.23351;30.34513;0.08773804;33.33282
201;46.73215;29.75697;0.08010864;32.78446
202;46.82397;29.75781;0.1239777;33.55503
203;56.90124;29.90549;0.1173019;33.99467
204;37.5955;24.66309;0.09250641;33.81634
205;35.88065;23.63095;0.1573563;32.62234
206;34.41113;23.73579;0.07534027;32.98473
207;36.63148;24.55164;0.09155273;33.79631
208;46.84698;29.48005;0.1068115;33.97846
209;36.32564;24.55681;0.08583069;41.09287
210;50.07766;30.10295;0.09536743;20.66803
211;36.36343;24.0919;0.08201599;33.62846
212;36.64043;23.16425;0.9384155;28.41473
213;38.4319;24.66773;0.9403229;32.9895
214;37.97537;24.16798;5.602837;38.39779
215;36.69044;24.24061;4.922867;33.13446
216;35.31391;23.1991;9.000778;42.01794
217;39.09242;24.6962;1.349449;24.89185
218;34.7948;23.98061;10.7336;41.22257
219;43.52744;23.62669;0.1106262;30.03311
220;36.96204;23.71915;0.07629395;41.15105
221;36.95813;24.70318;0.1869202;20.11776
222;34.66711;24.35377;0.08869171;33.0801
223;47.28427;30.25582;4.078865;32.74345
224;47.07835;29.52321;2.587318;33.41961
225;36.72642;24.39854;0.09727478;38.24043
226;34.71646;23.4078;0.1058578;33.90217
227;36.29044;24.29678;0.1163483;43.28823
228;34.87117;24.2479;0.07820129;17.88044
229;35.86469;23.87033;0.1096725;32.87792
230;36.54976;23.75623;10.11562;42.15622
231;36.42786;24.34246;0.08869171;30.13325
232;36.07072;24.16018;0.08201599;41.96548
233;34.80635;24.23949;0.1440048;19.37199
234;33.23432;22.70628;0.1144409;32.93514
235;41.97998;25.17106;0.9403229;30.35355
236;48.38391;30.03225;0.1344681;47.20306
237;36.36974;24.26698;0.1182556;38.00869
238;34.55629;16.96176;0.0629425;17.33971
239;46.33361;30.02365;0.07915497;33.13446
240;36.91779;24.52522;0.9813309;30.2887
241;47.4791;30.08395;0.07152557;39.83116
242;45.24795;29.96788;0.1144409;33.69236
243;46.44444;30.05291;0.09727478;35.09521
244;47.5782;29.92085;0.08296967;40.87925
245;37.4652;24.12738;0.07629395;19.51122
246;39.24458;23.8573;0.06389618;33.57315
247;35.4141;23.98609;3.305435;32.77874
248;36.00755;24.20815;0.1020432;39.48021
249;47.95902;30.21572;0.1325607;42.47761
250;45.76736;29.46928;0.06389618;18.2476
251;37.13614;24.47428;0.06198883;33.14495
252;35.69864;23.56351;0.0629425;30.68638
253;36.17276;24.27484;0.0705719;40.27081
254;36.86587;24.24341;0.09536743;42.07897
255;47.56957;29.80942;0.06580353;20.29705
256;35.82915;24.17633;9.541512;42.48714
257;45.62597;30.04258;3.561974;23.51379
258;48.44202;30.16096;35.82096;66.72192
259;47.44044;29.92341;0.05531311;0.06961823
260;49.24279;30.21746;0.0705719;33.27847
261;47.64738;30.31793;4.37355;33.35857
262;40.85467;23.59691;11.14655;42.01221
263;49.01262;29.87056;0.09822845;28.28693
264;38.48974;24.27934;0.0667572;32.23038
265;39.6692;29.78317;0.0743866;33.78487
266;43.4751;30.23488;0.07534027;33.96988
267;40.82127;29.51906;0.1163483;35.76946
268;44.60697;30.26717;0.1106262;43.00785
269;41.77261;30.38206;0.05531311;16.73794
270;41.78593;29.99445;0.06389618;33.4053
271;41.95311;29.73671;11.75213;42.01221
272;45.41059;30.43674;0.06771088;28.53298
273;39.85011;29.71733;0.0743866;32.67574
274;44.20082;30.44204;0.08201599;35.96592
275;40.37954;30.34689;0.1001358;41.14532
276;40.22464;29.57568;0.05054474;19.14692
277;40.47306;29.80772;8.686066;41.85581
278;41.50475;30.37414;0.06580353;33.29182
279;41.93465;30.02881;0.06103516;28.72753
280;41.1174;29.37352;0.0667572;34.48486
281;41.63494;30.30479;0.1020432;39.28185
282;44.61456;30.08222;0.1459122;34.46674
283;41.58046;29.91658;0.09155273;32.70435
284;40.2339;30.42614;0.09346008;33.71239
285;40.21076;29.96359;0.09918213;32.42207
286;42.54203;30.29341;0.1249313;38.89275
287;42.0625;29.77471;0.05912781;37.21142
288;42.2234;30.30742;24.26529;35.83908
289;40.81651;29.88418;8.747101;17.7021
290;39.24018;30.2532;8.501053;33.08868
291;39.93358;29.7764;8.682251;33.28228
292;42.41641;30.75364;9.046555;34.00326
293;39.16689;29.12873;0.1144409;33.50925
294;41.99343;30.63235;9.041786;32.59754
295;40.6819;29.55317;0.05912781;33.08392
296;41.58211;30.52979;0.04673004;24.33491
297;40.19689;29.82892;0.1354218;42.60826
298;39.00372;30.31005;8.748055;33.06866
299;39.18885;29.61577;0.09059906;33.17547
300;41.6581;30.0443;8.893013;33.07152
301;45.33598;30.31355;8.729935;33.2346
302;38.64151;29.95161;8.490562;33.17642
303;40.4356;29.84845;8.494377;33.35571
304;40.97761;30.3759;9.254456;33.8068
305;38.14391;29.68704;8.716583;33.09917
306;40.66928;30.39527;0.07724762;33.58269
307;39.91534;29.73334;0.05340576;32.97424
308;39.6542;30.63146;8.532524;33.57887
309;38.96314;29.16924;8.834839;32.93037
310;39.55547;30.84138;8.749962;33.1049
311;39.50629;29.96274;8.616447;33.1583
312;38.96459;29.3308;8.646011;33.53786
313;42.34618;30.94331;8.759499;33.19263
314;39.5704;29.76288;8.904457;33.15639
315;41.66472;30.30391;8.646965;33.10299
316;38.97907;29.52155;8.980751;33.61034
317;39.25193;30.63593;0.05722046;33.02574
318;38.05531;28.96699;0.05722046;33.66089
319;44.24745;30.64399;0.06198883;33.39958
320;39.44536;24.53441;8.821487;32.83787
321;38.28177;30.00389;0.05435944;33.12683
322;39.44684;30.18527;0.05149841;33.11539
323;39.00082;29.86971;0.06771088;33.66184
324;38.13974;30.06842;0.08869171;33.31184
325;41.88775;29.92853;0.1010895;32.9895
326;39.99451;30.25669;0.05912781;33.41961
327;39.38609;30.07963;0.06771088;33.47206
328;37.59415;29.61912;0.1411438;33.1192
329;39.77001;30.36007;0.1564026;32.79781
330;41.78593;30.41996;8.142471;33.14209
331;39.83951;29.91999;0.07629395;33.31757
332;38.91397;29.63083;0.09441376;34.0004
333;41.00164;30.36358;0.1134872;32.90939
334;39.69473;29.90293;8.765221;33.04863
335;38.66146;30.07618;7.727623;33.04482
336;39.6527;30.18701;0.05054474;33.14972
337;40.06786;30.34074;0.05817413;33.90026
338;40.53878;29.53569;0.1592636;33.48923
339;38.59031;29.90122;0.07915497;32.81498
340;40.34847;30.18875;0.06866455;32.96185
341;39.6617;30.04344;8.631706;33.48064
342;40.78158;30.26368;0.0629425;33.041
343;41.39661;29.77894;0.05626678;33.05054
344;42.77807;29.48917;9.65023;43.30349
345;42.64584;30.86407;0.07534027;23.53954
346;41.80592;29.96788;0.04863739;32.83119
347;39.90623;30.01591;0.0667572;33.53119
348;40.42625;29.99531;0.06389618;33.79917
349;41.31179;29.84335;0.06008148;32.67765
350;39.25193;30.13496;5.482674;33.31184
351;42.6632;30.12457;0.05340576;33.37288
352;40.63303;30.23924;0.05245209;32.9771
353;39.63172;29.71986;0.04768372;33.68187
354;41.74932;30.53868;0.04959106;33.02193
355;39.78208;29.85355;0.05149841;33.28514
356;39.10263;29.83486;0.0705719;33.12683
357;42.62851;30.28116;0.04768372;33.83255
358;41.81926;30.38822;0.05340576;32.82928
359;40.13227;29.6694;0.05340576;33.36525
360;41.17553;30.24971;0.04768372;33.59222
361;40.28337;29.71312;0.05340576;32.85217
362;41.63329;30.3267;0.05531311;33.17642
363;39.49736;30.02451;0.1106262;33.55408
364;40.97281;29.93366;0.05149841;33.4034
365;42.6008;30.69242;0.05912781;32.97615
366;40.2123;29.59905;0.05531311;33.57506
367;41.69288;29.99016;0.05912781;32.88269
368;42.82699;30.38294;0.0705719;33.39577
369;40.15071;29.58569;8.619308;42.25349
370;42.11825;30.55647;9.48143;33.90312
371;38.58463;29.5907;0.05340576;23.50998
372;41.73603;30.84773;0.04959106;33.42438
373;40.29885;29.47094;0.04959106;33.02002
374;45.50321;29.7047;0.06103516;33.40721
375;43.46249;29.86205;0.05149841;33.43391
376;46.75716;30.45707;9.157181;42.38319
377;42.03046;30.52445;0.05531311;23.86665
378;38.86206;29.78401;0.04959106;33.50639
379;40.90886;29.96959;0.1354218;33.17261
380;42.69794;30.43762;0.05340576;33.23746
381;40.89291;29.82807;0.05340576;33.57887
382;40.86741;29.81281;8.85582;41.996
383;41.73271;30.09172;8.598328;32.89795
384;41.52448;30.54401;0.05149841;24.56474
385;42.1555;29.90463;0.04959106;33.1192
386;39.79416;30.15749;8.892059;42.44614
387;40.57957;29.75528;0.04386902;24.66393
388;40.28337;29.53403;8.541107;42.23824
389;42.06756;30.58321;0.1239777;32.47452
390;40.93442;30.05032;8.932114;33.55598
391;40.46993;29.88247;0.04959106;24.37973
392;43.20462;30.03139;0.05912781;33.23174
393;43.2688;30.03311;8.489609;41.79955
394;41.14967;29.81111;0.06866455;25.04539
395;42.66667;30.24448;8.499146;41.52679
396;43.70159;30.22007;8.405685;33.29659
397;41.52776;29.75359;9.134293;33.741
398;43.78919;30.90592;0.07629395;32.82166
399;39.61375;29.24409;0.1316071;33.35953
400;41.40968;30.16096;8.460999;33.30231
401;41.58706;29.69797;0.1316071;33.45108
402;44.75739;30.89317;8.535385;33.06198
403;39.86375;29.1514;8.729935;33.10776
404;43.94703;30.96981;8.699417;33.25844
405;41.59365;29.69797;8.634567;33.17451
406;41.18523;29.76204;8.586884;33.30421
407;39.84254;24.29509;8.285522;33.34427
408;42.42155;29.91658;0.08201599;33.10966
409;40.76256;30.28641;0.1010895;33.53119
410;41.85932;30.55113;0.0629425;33.11348
411;39.98841;29.61912;0.0629425;32.92274
412;42.09458;30.27941;0.04768372;33.65517
413;39.36096;29.37352;0.05722046;33.3519
414;45.7095;30.77891;0.0705719;32.96852
415;41.13999;30.00217;0.05531311;33.48351
416;41.30529;29.99874;8.468628;33.00476
417;41.65975;29.96788;0.05722046;33.2756
418;40.36089;29.86205;0.05912781;33.57315
419;41.12385;30.15055;8.424759;32.99332
420;39.1786;29.63754;0.06866455;33.77342
421;43.0839;30.65295;0.07247925;32.78732
422;40.53564;29.72491;0.0629425;33.41866
423;43.55275;30.38118;0.06866455;33.1192
424;40.59842;30.10209;0.0743866;33.74481
425;40.37333;29.50577;0.06103516;32.92847
426;42.05069;29.77048;0.0743866;33.57887
427;43.71617;30.76266;0.07247925;33.15163
428;41.81926;30.00733;0.07820129;33.68759
429;41.46864;29.81789;0.05722046;32.96661
430;41.68625;30.42879;0.0629425;33.41866
431;40.15686;29.74853;0.05722046;42.14287
432;39.7489;30.3267;0.05149841;23.74268
433;40.91844;29.81789;0.05340576;33.76007
434;43.30811;29.6862;8.199692;33.06961
435;42.02036;30.51202;7.62558;32.9895
436;41.77594;30.31968;7.8125;33.39958
437;40.14764;29.85695;0.06484985;33.13828
438;41.57716;30.33547;8.659363;33.64944
439;43.17615;29.45769;0.06866455;33.46634
440;46.0872;30.24797;0.3108978;32.85217
441;41.21113;29.62247;0.1678467;33.10776
442;41.18847;30.74823;7.364273;33.92792
443;41.17876;29.79417;0.1678467;32.71866
444;39.6647;30.20092;0.05531311;33.1459
445;42.60426;30.59571;0.1888275;33.98323
446;38.87646;29.7671;0.0629425;32.39822
447;41.72939;29.97302;0.09346008;33.3004
448;39.60777;29.61577;6.298065;34.11674
449;41.38353;30.52268;0.1010895;32.39059
450;40.59842;29.76035;6.439209;33.1707
451;41.66637;30.42702;0.06484985;33.63037
452;39.99451;28.9422;0.08201599;33.47206
453;47.50276;30.87861;0.06866455;32.61757
454;41.97662;30.14016;0.05531311;33.41484
455;41.93298;30.11938;0.2212524;33.55408
456;40.9696;30.15923;7.066727;32.95708
457;40.81333;29.90804;0.05722046;33.48923
458;39.5331;30.06066;0.0743866;33.26225
459;43.58533;30.05205;9.279251;42.63306
460;41.97998;29.64424;0.1068115;24.01924
461;41.52448;30.35479;0.0743866;32.97806
462;40.37022;30.09344;0.06103516;33.52928
463;41.02731;29.96445;9.794235;42.86766
464;43.4157;29.77217;9.975433;33.37288
465;44.44249;30.18006;0.169754;32.97043
466;41.62998;29.87907;9.847641;33.48351
467;42.63544;30.41114;0.05531311;23.23151
468;41.93633;30.31267;0.04959106;33.32138
469;38.74431;29.82298;0.0629425;33.18787
470;42.45591;29.99531;0.05722046;33.16307
471;39.4083;29.91828;0.0705719;33.76579
472;47.04666;30.21833;0.0629425;32.51076
473;40.8038;29.47425;0.05531311;33.58841
474;45.38897;30.732;0.06484985;33.98514
475;40.51059;29.87056;0.04959106;32.547
476;41.53763;30.27417;0.05149841;33.33664
477;39.98536;29.79078;0.05340576;33.39005
478;42.39754;29.93537;0.09727478;42.88483
479;42.80951;30.34952;0.05149841;23.50998
480;41.50475;30.21659;0.05340576;33.18787
481;39.29017;28.85142;0.05149841;33.31566
482;43.24381;30.92415;0.0667572;33.21457
483;40.53564;30.3847;0.05722046;33.34808
484;39.8486;29.26041;0.05722046;33.7429
485;42.42155;30.4925;0.04959106;32.46689
486;42.985;30.60821;0.05722046;33.65517
487;41.93969;29.49747;0.04768372;33.04291
488;43.63612;30.28991;0.04959106;33.27942
489;44.17661;30.32495;0.07247925;33.47969
490;41.15614;29.13358;8.609772;42.25349
491;42.74668;30.723;9.300232;33.59222
492;44.05411;29.82637;8.924484;32.77016
493;42.05744;29.88588;0.05340576;24.18327
494;43.52383;30.75905;0.05340576;33.24699
495;42.62157;29.97816;0.04959106;33.54263
496;43.27951;29.44446;0.06103516;33.13065
497;46.68222;30.60999;8.823395;42.17339
498;43.81481;29.9833;9.109497;33.37288
499;41.48176;29.98502;9.134293;33.33664
500;42.63891;30.23227;0.04959106;24.12796
501;41.80592;29.90975;0.0667572;33.21266
502;41.3868;29.67948;0.04768372;33.36143
503;44.79945;30.24273;8.796692;42.51862
504;40.26171;30.21136;8.684158;32.77016
505;40.611;29.7519;0.05149841;24.30153
506;42.19282;30.62072;8.853912;42.16766
507;40.84512;29.90804;8.699417;33.55789
508;42.15889;30.03827;8.871078;33.45299
509;40.3951;29.43619;8.718491;33.38623
510;42.77109;30.67626;0.06484985;33.00285
511;40.18148;29.58569;8.962631;33.2222
512;46.12369;30.27941;8.773804;33.21648
513;40.3951;30.09172;8.476257;33.14781
514;42.58004;30.29516;9.088516;33.52737
515;40.18148;29.73166;8.432388;33.35571
516;45.25185;30.28816;0.08773804;32.81975
517;40.63303;29.76372;0.1029968;33.58459
518;42.85149;30.14535;0.09155273;32.78923
519;41.13353;30.0969;8.672714;33.33473
520;41.38027;30.109;8.584976;33.36525
521;42.66667;30.07273;0.09727478;33.18024
522;40.70875;29.55567;0.07247925;33.30231
523;41.95982;30.67985;0.08392334;33.22792
524;40.47618;29.87396;8.472443;33.12874
525;40.97921;30.08481;8.609772;33.4301
526;42.83049;29.88929;8.985519;33.33092
